>OSTLU_14894
3.A.1.205.11 - Evalue: 5.14353E-43	[TI3000980, TI3001052, TI3000983]

>OSTLU_34271
2.A.29.4.3 - Evalue: 2.56748E-7	[TO0000009]
2.A.29.18.1 - Evalue: 2.68566E-10	[TO0000017]
2.A.29.14.4 - Evalue: 3.43837E-13	[TR0000023, TR0000186, TR0000041]
2.A.29.15.1 - Evalue: 6.75949E-30	[TO0000032]
2.A.29.11.2 - Evalue: 9.97845E-8	[TR0000128]
2.A.29.8.9 - Evalue: 1.97841E-10	[TO0000119, TO0000064, TO0000404, TO0000051, TO0001319]

>OSTLU_94419
1.A.75.1.19 - Evalue: 0.0	[TR0020429, TR0020864, TR0004100, TR0009695, TR0000063, TR0009693, TR0001012, TR0000560, TR0000021, TR0000740, TR0000244, TR0023943, TR0000205, TR0000149, TR0023944, TR0004097, TR0000030, TR0010516, TR0000034, TR0000254, TR0000131, TR0000971, TR0000058, TR0000531, TR0000013, TR0017321]

>OSTLU_35127
3.A.2.1.3 - Evalue: 1.82465E-26	[TX3000000, TR3000005, TR3000006]
3.A.2.1.13 - Evalue: 8.71618E-23	[TR3000005, TR3000006]
3.A.2.1.11 - Evalue: 4.13509E-26	[TR3000005, TR3000006]

>OSTLU_41926
3.A.20.1.1 - Evalue: 7.69965E-16	[TO0023944, TO0023943, TO0000740]
3.A.20.1.3 - Evalue: 2.04255E-20	[TO0023944, TO0023943, TO0000740]
3.A.20.1.4 - Evalue: 2.38958E-21	[TO0023944, TO0023943, TO0000740]

>OSTLU_4561
1.A.1.5.30 - Evalue: 1.78296E-8	[TO0020864, TO0000058, TO0009693, TO0000013, TO0000254, TO0000034, TO0009695, TO0000131, TO0000030, TO0010516, TO0004100, TO0000560, TO0001012, TO0000740, TO0023944, TO0017321, TO0023943, TO0000205, TO0000149, TO0000244, TO0000021, TO0000063, TO0004097, TO0000531, TO0000971, TO0020429]
1.A.1.5.9 - Evalue: 4.64842E-13	[TO0000205]
1.A.1.24.5 - Evalue: 1.0106E-9	[TO0000205]
1.A.1.5.17 - Evalue: 2.54207E-8	[TO0000205]
1.A.1.5.31 - Evalue: 9.47997E-9	[TR0000205]

>OSTLU_47105
2.A.66.1.17 - Evalue: 1.66728E-21	[TI2104203, TI2104468, TI2104694, TI2104486, TI2101166, TI2104827, TI2104739, TI2104409]
2.A.66.1.18 - Evalue: 3.78114E-42	[TI2104203, TI2104468, TI2104682, TI2104694, TI2101166, TI2104486, TI2104827, TI2104739, TI2104409]
2.A.66.1.19 - Evalue: 2.31715E-45	[TI2100554, TI2103690]
2.A.66.1.20 - Evalue: 9.10612E-33	[TI2104203, TI2104468, TI2104694, TI2104486, TI2101166, TZ2900011, TI2104827, TI2104739, TI2104409]
2.A.66.1.1 - Evalue: 1.68498E-10	[TI2104088, TI2111645, TI2100328]
2.A.66.1.14 - Evalue: 8.09142E-42	[TI2104246, TI2119060, TI2104787, TI2104227, TI2100585, TI2104682, TI2103973, TI2104585, TI2112368, TI2108168, TI2112548, TI2104182, TI2104878, TI2100679, TI2119240, TI2104411, TI2104254, TI2110399, TI2104230, TI2108035, TI2105082, TI2101995, TI2103976, TI2103975, TI2102869]
2.A.66.1.15 - Evalue: 1.20699E-40	[TI2119060, TI2104682, TZ2900011, TI2108168, TI2104340, TI2104190, TI2103937]
2.A.66.1.16 - Evalue: 5.21431E-42	[TI2123944, TI2123943, TI2100740, TZ2900011]
2.A.66.1.38 - Evalue: 1.8595E-33	[TI2104203, TI2104468, TI2104694, TI2100058, TI2101166, TI2104486, TI2104827, TI2104409, TI2104739]
2.A.66.1.5 - Evalue: 6.57839E-20	[TI2108093]
2.A.66.1.8 - Evalue: 1.46515E-41	[TI2104147, TI2104028, TI2103296, TI2103974, TI2104144, TI2103973, TI2103972, TI2101310, TI2111358, TI2109155, TI2104020, TI2104263, TI2104142, TI2109154, TI2103173, TI2103292, TI2109391, TI2111362, TI2111363, TI2104815, TI2104817, TI2104818, TI2101303, TI2104257, TI2107527, TI2105107, TI2104255, TI2109148, TI2111367, TI2109147, TI2111368, TI2108850, TI2113429, TI2109143, TI2120083, TI2109141, TI2119896, TI2119897, TI2119898, TI2101896, TI2119893, TI2100687, TI2108849, TI2102869, TI2100328, TI2108845, TI2104246, TI2100680, TI2104247, TI2101096, TI2103032, TI2108841, TI2109139, TI2108840, TI2109137, TI2109379, TI2109138, TI2104245, TI2120099, TI2109136, TI2120097, TI2111930, TI2109133, TI2109134, TI2120098, TI2108046, TI2109131, TI2109132, TI2108042, TI2117489, TI2117488, TI2117487, TI2117486, TI2103029, TI2117485, TI2117484, TI2100679, TI2100317, TI2101085, TI2108835, TI2100674, TI2104233, TI2117805, TI2109124, TI2117804, TI2117803, TI2108157, TI2109122, TI2104230, TI2109123, TI2117809, TI2117808, TI2111944, TI2117807, TI2111945, TI2117928, TI2117806, TI2101995, TI2108826, TI2108823, TI2101198, TI2104227, TI2104220, TI2104344, TI2111951, TI2112368, TI2104461, TI2119206, TI2117940, TI2114556, TI2117700, TI2119562, TI2108816, TI2104210, TI2109465, TI2117706, TI2117705, TI2117709, TI2117708, TI2108131, TI2117707, TI2111297, TI2117710, TI2108809, TI2108807, TI2111170, TI2108806, TI2104563, TI2104201, TI2117958, TI2111974, TI2105095, TI2119900, TI2119901, TI2119902, TI2106977, TI2105082, TI2112286, TI2100621, TI2104426, TI2101151, TI2101036, TI2101271, TI2120107, TI2117984, TI2120108, TI2120106, TI2117988, TI2117987, TI2113387, TI2117986, TI2117985, TI2100615, TI2105627, TI2101388, TI2101025, TI2109300, TI2104095, TI2111402, TI2117989, TI2104091, TI2104092, TI2111405, TI2104090, TI2116547, TI2101132, TI2101256, TI2104088, TI2104089, TI2104882, TI2101375, TI2101012, TI2101255, TI2104084, TI2105052, TI2104087, TI2108563, TI2104082, TI2108560, TI2119943, TI2119941, TI2119942, TI2104878, TI2124849, TI2108796, TI2104199, TI2109765, TI2108793, TI2104194, TI2108792, TI2108795, TI2111668, TI2104070, TI2108791, TI2108790, TI2117537, TI2108789, TI2100384, TI2101350, TI2108786, TI2108785, TI2104067, TI2108788, TI2104189, TI2105036, TI2108787, TI2104183, TI2108782, TI2108784, TI2108783, TI2104065, TI2108780, TI2111319, TI2111321, TI2111322, TI2101104, TI2104056, TI2104298, TI2101343, TI2111323, TI2104173, TI2111324, TI2109188, TI2111325, TI2108894, TI2109189, TI2111326, TI2108893, TI2111328, TI2109184, TI2109182, TI2109183, TI2109180, TI2109181, TI2111330, TI2119973, TI2119974, TI2101337, TI2101214, TI2108764, TI2108884, TI2104960, TI2101332, TI2103872, TI2108881, TI2109179, TI2109177, TI2109178, TI2108085, TI2109175, TI2112548, TI2112427, TI2109176, TI2109173, TI2109174, TI2109171, TI2104037, TI2103981, TI2103980, TI2104038, TI2104034, TI2101320, TI2101684, TI2108078, TI2109169, TI2109166, TI2121154, TI2121030, TI2121031, TI2102094, TI2109284, TI2112560, TI2111352, TI2103978, TI2104826, TI2101316, TI2103977, TI2103976, TI2101313, TI2103975, TI2103979]
2.A.66.1.6 - Evalue: 2.93924E-45	[TI2104088, TI2124834, TI2103173]

>OSTLU_51835
2.A.7.12.5 - Evalue: 2.27877E-51	[TR2000014, TR2000043, TR2000175]
2.A.7.12.16 - Evalue: 1.46947E-59	[TR2000037]
2.A.7.12.6 - Evalue: 6.21366E-43	[TR2000043]
2.A.7.12.7 - Evalue: 5.91456E-57	[TR2000037]
2.A.7.12.8 - Evalue: 6.36929E-45	[TR2000043]
2.A.7.12.14 - Evalue: 1.1189E-10	[TR2002861, TR2003732, TR2002862, TR2000861, TR2002820, TR2002886, TR2002964, TR2002887, TR2001556, TR2019365, TR2000525, TR2002528, TR2002917, TR2002819, TR2020992, TR2020972, TR2000026, TR2021066, TR2000144, TR2021200, TR2000043, TR2000163, TR2001481, TR2001140, TR2008358, TR2001482, TR2000691, TR2000890, TR2000472, TR2003584, TR2000773, TR2014876, TR2014874, TR2002810, TR2002932, TR2002338, TR2001623, TR2002977, TR2002835, TR2017473, TR2021478, TR2000037, TR2000175]
2.A.7.12.9 - Evalue: 2.41296E-57	[TR2000037, TR2000175]
2.A.7.12.1 - Evalue: 3.01964E-36	[TR2000046]
2.A.7.12.3 - Evalue: 5.66689E-8	[TR2000043]
2.A.7.12.4 - Evalue: 2.50354E-37	[TR2000037, TR2000014, TR2000043]
2.A.7.12.11 - Evalue: 5.57244E-36	[TR2000046]
2.A.7.12.10 - Evalue: 1.27567E-38	[TR2000037, TR2000026, TR2000175, TR2000043]

>OSTLU_49403
3.A.20.1.4 - Evalue: 8.22942E-14	[TO0023944, TO0023943, TO0000740]

>OSTLU_24002
2.A.29.12.7 - Evalue: 5.10504E-33	[TR2918359, TR2918358, TR2900006]
2.A.29.18.2 - Evalue: 1.94653E-11	[TR2918360]
2.A.29.12.5 - Evalue: 3.48619E-35	[TR2000010]
2.A.29.10.7 - Evalue: 3.35902E-15	[TR2004025, TR2004024, TR2003454, TR2003732, TR2000861, TR2002886, TR2002887, TR2001556, TR2019365, TR2002528, TR2019363, TR2000626, TR2000989, TR2002917, TR2020992, TR2021200, TR2004021, TR2000184, TR2000062, TR2001140, TR2004496, TR2000691, TR2008730, TR2007923, TR2002113, TR2004810, TR2001423, TR2001941, TR2017472, TR2002638, TR2017471, TR2000978, TR2017473, TR2001939, TR2000299, TR2000298, TR2000297, TR2000175, TR2000052, TR2002264, TR2001571, TR2001572, TR2002025, TR2002820, TR2000521, TR2000522, TR2000525, TR2018015, TR2002819, TR2018017, TR2018016, TR2000249, TR2000247, TR2020972, TR2000367, TR2003582, TR2008358, TR2004036, TR2004035, TR2000472, TR2003584, TR2014876, TR2002810, TR2014874, TR2002932, TR2000358, TR2000357, TR2000356, TR2000112, TR2001350, TR2001991, TR2001233, TR2002964, TR2000307, TR2000026, TR2000144, TR2009195, TR2009197, TR2000092, TR2000091, TR2000890, TR2002036, TR2000773, TR2000654, TR2000533, TR2001623, TR2000897, TR2002835, TR2000412, TR2000014, TR2021497, TR2000096, TR2008720, TR2002861, TR2002862, TR2002225, TR2008727, TR2000206, TR2000444, TR2021186, TR2021066, TR2021187, TR2000046, TR2000043, TR2008288, TR2000163, TR2008287, TR2001481, TR2000390, TR2001482, TR2000673, TR2008718, TR2008717, TR2002338, TR2002977, TR2008716, TR2002616, TR2000316, TR2021478, TR2000037, TR2021199, TR2021112, TR2000151]
2.A.29.12.6 - Evalue: 4.63123E-40	[TR2000010]
2.A.29.16.2 - Evalue: 2.72804E-18	[TR2918357, TR2918356, TR2918353, TR2918355, TR2918354]
2.A.29.12.3 - Evalue: 6.03243E-31	[TR2000010]
2.A.29.14.1 - Evalue: 1.10666E-18	[TR2918327, TR2918325]
2.A.29.14.2 - Evalue: 4.51202E-19	[TR2300041, TR2300023, TR2300186]
2.A.29.10.6 - Evalue: 2.67068E-17	[TR2004025, TR2004024, TR2003454, TR2003732, TR2000861, TR2002886, TR2002887, TR2001556, TR2019365, TR2002528, TR2000626, TR2019363, TR2000989, TR2002917, TR2020992, TR2021200, TR2004021, TR2000184, TR2000062, TR2001140, TR2004496, TR2000691, TR2008730, TR2007923, TR2002113, TR2004810, TR2001423, TR2001941, TR2017472, TR2002638, TR2017471, TR2000978, TR2017473, TR2001939, TR2000299, TR2000298, TR2000297, TR2000175, TR2000052, TR2002264, TR2001571, TR2001572, TR2002025, TR2002820, TR2000521, TR2000522, TR2000525, TR2018015, TR2018017, TR2002819, TR2018016, TR2000249, TR2000247, TR2020972, TR2000367, TR2003582, TR2008358, TR2004036, TR2000472, TR2003584, TR2004035, TR2014876, TR2014874, TR2002810, TR2002932, TR2000358, TR2000357, TR2000356, TR2000112, TR2001350, TR2001991, TR2001233, TR2002964, TR2000307, TR2000026, TR2000144, TR2009195, TR2009197, TR2000092, TR2000091, TR2000890, TR2002036, TR2000773, TR2000654, TR2000533, TR2001623, TR2000897, TR2002835, TR2000412, TR2000014, TR2021497, TR2000096, TR2008720, TR2002861, TR2002862, TR2002225, TR2008727, TR2000206, TR2000444, TR2021186, TR2000046, TR2021187, TR2021066, TR2000043, TR2008288, TR2000163, TR2008287, TR2001481, TR2001482, TR2000390, TR2000673, TR2008718, TR2008717, TR2002338, TR2008716, TR2002977, TR2002616, TR2000316, TR2021478, TR2000037, TR2021199, TR2021112, TR2000151]
2.A.29.10.3 - Evalue: 2.5896E-16	[TR2000393]
2.A.29.12.2 - Evalue: 5.41727E-31	[TR2900006]
2.A.29.11.3 - Evalue: 1.14568E-58	[TR2900044, TR2900047, TR2900046]
2.A.29.13.1 - Evalue: 1.0298E-13	[TO2903041, TI2903796]
2.A.29.10.2 - Evalue: 5.20613E-18	[TR2000393]
2.A.29.11.1 - Evalue: 9.33673E-52	[TR2900044, TR2900047, TR2900046]
2.A.29.20.1 - Evalue: 1.21163E-18	[TR2900088, TR2900087, TR2900086, TR2900085, TR2900084, TR2900083]
2.A.29.1.10 - Evalue: 1.09338E-23	[TR2000128]
2.A.29.8.6 - Evalue: 9.47844E-16	[TR2900033, TR2900032, TR2900031, TR2900035, TR2900034, TR2900005]
2.A.29.7.5 - Evalue: 1.99923E-20	[TR2000137]
2.A.29.5.7 - Evalue: 1.72269E-10	[TZ2900022]
2.A.29.5.8 - Evalue: 6.13991E-15	[TZ2900022]
2.A.29.2.4 - Evalue: 4.96309E-12	[TR2900022, TR2900021, TR2900020, TR2900026, TR2900015, TR2900014, TR2900025, TR2900024, TR2900023, TR2900019, TR2900018, TR2900017, TR2900028, TR2900016, TR2900027]
2.A.29.1.3 - Evalue: 2.87634E-16	[TI2903719, TI2903720, TI2903724, TI2903725, TI2903722, TO2903018]
2.A.29.1.9 - Evalue: 3.96846E-19	[TI2903719]
2.A.29.5.5 - Evalue: 1.71171E-11	[TZ2900022]
2.A.29.2.8 - Evalue: 3.86595E-9	[TR2900000, TR2900022, TR2900020, TR2900025, TR2900023, TR2900001, TR2918349, TR2918329, TR2918346, TR2918345, TR2918348, TR2000269, TR2918347, TR2918342, TR2918341, TR2000024, TR2900028, TR2918344, TR2918343, TR2918340, TR2900054, TR2900053, TR2900015, TR2900014, TR2918339, TR2918338, TR2918335, TR2918334, TR2918337, TR2918336, TR2900019, TR2918331, TR2918330, TR2900018, TR2918333, TR2918332, TR2900016]
2.A.29.23.9 - Evalue: 3.6391E-48	[TR2900011, TR2000193, TR2900010, TR2900008, TR2900007, TR2000044, TR2900009]
2.A.29.7.4 - Evalue: 2.79127E-24	[TR2000137]
2.A.29.5.6 - Evalue: 2.20541E-18	[TR2918324]
2.A.29.8.3 - Evalue: 2.12025E-10	[TI2903731, TI2903652, TI2903730, TI2903728, TI2903729]
2.A.29.23.8 - Evalue: 8.09762E-56	[TR2400002, TR2400009]
2.A.29.1.7 - Evalue: 2.8413E-19	[TI2903719]
2.A.29.7.1 - Evalue: 3.69543E-19	[TR2000061, TR2000137, TR2000036, TR2000353, TR2000386, TR2000331, TR2002812, TR2000130, TR2000260]
2.A.29.5.3 - Evalue: 1.28134E-14	[TZ2900022]
2.A.29.7.2 - Evalue: 9.97108E-20	[TR2000061, TR2000137, TR2000386, TR2000130]
2.A.29.5.4 - Evalue: 1.31313E-14	[TZ2900022]
2.A.29.8.1 - Evalue: 6.95416E-11	[TI2903731, TI2903652, TI2903730, TI2903728, TI2903729]
2.A.29.23.5 - Evalue: 4.71732E-53	[TR2000009]
2.A.29.23.4 - Evalue: 3.88922E-47	[TR2900128]
2.A.29.23.2 - Evalue: 7.9284E-26	[TR2400002, TR2400009, TR2400008]
2.A.29.23.1 - Evalue: 7.15525E-53	[TR2400002, TR2400009]
2.A.29.20.2 - Evalue: 2.00541E-8	[TR2900088, TR2900092]
2.A.29.14.10 - Evalue: 3.58675E-16	[TZ2900000]
2.A.29.20.3 - Evalue: 5.93073E-7	[TR2900128]
2.A.29.10.11 - Evalue: 1.00278E-14	[TR2900088, TR2918320, TR2900128, TR2918322, TR2918321, TR2900084]

>OSTLU_41951
3.A.16.1.5 - Evalue: 1.25575E-9	[TI0023943, TI0023944, TI0000740]

>OSTLU_37691
3.A.16.1.5 - Evalue: 3.85614E-119	[TI0023943, TI0023944, TI0000740]

>OSTLU_34060
2.A.29.18.3 - Evalue: 3.82895E-10	[TR2000017]
2.A.29.12.7 - Evalue: 2.42164E-43	[TR2918359, TR2918358, TR2900006]
2.A.29.14.5 - Evalue: 1.50775E-22	[TR2000023, TR2000186]
2.A.29.18.2 - Evalue: 2.90004E-19	[TR2918360]
2.A.29.12.5 - Evalue: 2.94476E-56	[TR2000010]
2.A.29.10.7 - Evalue: 1.78492E-19	[TR2004025, TR2004024, TR2003454, TR2003732, TR2000861, TR2002886, TR2002887, TR2001556, TR2019365, TR2002528, TR2019363, TR2000626, TR2000989, TR2002917, TR2020992, TR2021200, TR2004021, TR2000184, TR2000062, TR2001140, TR2004496, TR2000691, TR2008730, TR2007923, TR2002113, TR2004810, TR2001423, TR2001941, TR2017472, TR2002638, TR2017471, TR2000978, TR2017473, TR2001939, TR2000299, TR2000298, TR2000297, TR2000175, TR2000052, TR2002264, TR2001571, TR2001572, TR2002025, TR2002820, TR2000521, TR2000522, TR2000525, TR2018015, TR2002819, TR2018017, TR2018016, TR2000249, TR2000247, TR2020972, TR2000367, TR2003582, TR2008358, TR2004036, TR2004035, TR2000472, TR2003584, TR2014876, TR2002810, TR2014874, TR2002932, TR2000358, TR2000357, TR2000356, TR2000112, TR2001350, TR2001991, TR2001233, TR2002964, TR2000307, TR2000026, TR2000144, TR2009195, TR2009197, TR2000092, TR2000091, TR2000890, TR2002036, TR2000773, TR2000654, TR2000533, TR2001623, TR2000897, TR2002835, TR2000412, TR2000014, TR2021497, TR2000096, TR2008720, TR2002861, TR2002862, TR2002225, TR2008727, TR2000206, TR2000444, TR2021186, TR2021066, TR2021187, TR2000046, TR2000043, TR2008288, TR2000163, TR2008287, TR2001481, TR2000390, TR2001482, TR2000673, TR2008718, TR2008717, TR2002338, TR2002977, TR2008716, TR2002616, TR2000316, TR2021478, TR2000037, TR2021199, TR2021112, TR2000151]
2.A.29.12.6 - Evalue: 1.04447E-58	[TR2000010]
2.A.29.16.2 - Evalue: 1.01784E-31	[TR2918357, TR2918356, TR2918353, TR2918355, TR2918354]
2.A.29.12.3 - Evalue: 2.15592E-57	[TR2000010]
2.A.29.14.1 - Evalue: 2.6292E-19	[TR2918327, TR2918325]
2.A.29.10.6 - Evalue: 1.54156E-26	[TR2004025, TR2004024, TR2003454, TR2003732, TR2000861, TR2002886, TR2002887, TR2001556, TR2019365, TR2002528, TR2000626, TR2019363, TR2000989, TR2002917, TR2020992, TR2021200, TR2004021, TR2000184, TR2000062, TR2001140, TR2004496, TR2000691, TR2008730, TR2007923, TR2002113, TR2004810, TR2001423, TR2001941, TR2017472, TR2002638, TR2017471, TR2000978, TR2017473, TR2001939, TR2000299, TR2000298, TR2000297, TR2000175, TR2000052, TR2002264, TR2001571, TR2001572, TR2002025, TR2002820, TR2000521, TR2000522, TR2000525, TR2018015, TR2018017, TR2002819, TR2018016, TR2000249, TR2000247, TR2020972, TR2000367, TR2003582, TR2008358, TR2004036, TR2000472, TR2003584, TR2004035, TR2014876, TR2014874, TR2002810, TR2002932, TR2000358, TR2000357, TR2000356, TR2000112, TR2001350, TR2001991, TR2001233, TR2002964, TR2000307, TR2000026, TR2000144, TR2009195, TR2009197, TR2000092, TR2000091, TR2000890, TR2002036, TR2000773, TR2000654, TR2000533, TR2001623, TR2000897, TR2002835, TR2000412, TR2000014, TR2021497, TR2000096, TR2008720, TR2002861, TR2002862, TR2002225, TR2008727, TR2000206, TR2000444, TR2021186, TR2000046, TR2021187, TR2021066, TR2000043, TR2008288, TR2000163, TR2008287, TR2001481, TR2001482, TR2000390, TR2000673, TR2008718, TR2008717, TR2002338, TR2008716, TR2002977, TR2002616, TR2000316, TR2021478, TR2000037, TR2021199, TR2021112, TR2000151]
2.A.29.14.2 - Evalue: 1.27051E-21	[TR2300041, TR2300023, TR2300186]
2.A.29.10.3 - Evalue: 9.70451E-24	[TR2000393]
2.A.29.12.2 - Evalue: 2.37391E-50	[TR2900006]
2.A.29.10.4 - Evalue: 9.81453E-18	[TI2903708, TI2903709, TO2902980, TO2902981, TI2903672, TI2903673, TI2903670, TO2902906, TO2902905, TI2903671, TI2903676, TI2903677, TO2902907, TI2903710, TI2903674, TI2903675, TI2903713, TO2902984, TI2903714, TO2902983, TO2902986, TI2903711, TI2903678, TO2902985, TI2903679, TI2903712, TI2903717, TO2902900, TO2902987, TI2903715, TO2902902, TI2903716, TO2902971, TI2903661, TI2903662, TI2903660, TI2903665, TI2903666, TI2903663, TI2903664, TI2903702, TO2902973, TI2903669, TO2902972, TI2903703, TI2903700, TI2903667, TO2902974, TI2903701, TI2903668, TI2903706, TO2902976, TI2903707, TI2903704, TO2902979, TO2902978, TI2903705, TO2903011, TO2903010, TO2903013, TO2903012, TO2903015, TO2903014, TI2903690, TI2903691, TI2903694, TI2903695, TI2903692, TI2903693, TI2903698, TI2903699, TI2903696, TI2903697, TO2902962, TO2903017, TO2903016, TO2902964, TO2902968, TO2902967, TO2903000, TO2903002, TO2903001, TO2903004, TI2903680, TI2903683, TI2903684, TO2902958, TI2903681, TI2903682, TI2903687, TI2903688, TI2903685, TI2903686, TO2902951, TO2903006, TO2903005, TO2903008, TI2903689, TO2903007, TO2902955, TO2903009, TO2902957, TO2902956, TO2902947, TO2902949, TO2902940, TO2902942, TO2902941, TO2902943, TO2902946, TO2902945, TO2902890, TO2902891, TO2902894, TO2902893, TO2902939, TO2902938, TO2902896, TO2902931, TO2902930, TO2902933, TO2902932, TO2902935, TO2902934, TO2902883, TO2902882, TO2902926, TO2902928, TO2902927, TO2902929, TO2902885, TI2903658, TO2902884, TI2903659, TO2902886, TO2902889, TO2902888, TO2902991, TO2902993, TO2902915, TO2902917, TO2902916, TO2902919, TO2902995, TO2902994, TO2902997, TO2902996, TO2902878, TO2902911, TO2902910, TO2902998, TO2902913, TO2902912, TO2902879]
2.A.29.10.2 - Evalue: 1.8821E-28	[TR2000393]
2.A.29.7.5 - Evalue: 7.5524E-20	[TR2000137]
2.A.29.5.7 - Evalue: 6.55777E-22	[TZ2900022]
2.A.29.5.8 - Evalue: 1.50994E-18	[TZ2900022]
2.A.29.3.4 - Evalue: 4.02961E-17	[TZ2900012]
2.A.29.1.6 - Evalue: 2.6753E-22	[TR2900125, TR2900126]
2.A.29.3.1 - Evalue: 2.7581E-15	[TR2003176, TR2005235, TR2005232, TR2004541, TR2008869, TR2003851, TR2005238, TR2003850, TR2008505, TR2005514, TR2002247, TR2003852, TR2019482, TR2001951, TR2005515, TR2002800, TR2019480, TR2019481, TR2019486, TR2020869, TR2015041, TR2020876, TR2020877, TR2020873, TR2020874, TR2000188, TR2020870, TR2005230, TR2005231, TR2015608, TR2005196, TR2002592, TR2003560, TR2002077, TR2010533, TR2002873, TR2003566, TR2001788, TR2020918, TR2003846, TR2005229, TR2003848, TR2003847, TR2001945, TR2003849, TR2002905, TR2000728, TR2002907, TR2016301, TR2000214, TR2021175, TR2000211, TR2021176, TR2010528, TR2009612, TR2001179, TR2002786, TR2000487, TR2012347, TR2019461, TR2002823, TR2002946, TR2015541, TR2015025, TR2015027, TR2005495, TR2011801, TR2002531, TR2005489, TR2000597, TR2001961, TR2012456, TR2002534, TR2002936, TR2000903, TR2020867, TR2015036, TR2015037, TR2005278, TR2010504, TR2002042, TR2005276, TR2005277, TR2012523, TR2001113, TR2016290, TR2016292, TR2002846, TR2019326, TR2015640, TR2020674, TR2016337, TR2005274, TR2005275, TR2011827, TR2001464, TR2003641, TR2001465, TR2001741, TR2000534, TR2001107, TR2000536, TR2016341, TR2016342, TR2002949, TZ2900012, TR2016466, TR2015016, TR2016349, TR2015536, TR2010526, TR2009658, TR2001130, TR2010524, TR2003554, TR2010520, TR2003555, TR2001138, TR2012660, TR2000966, TR2000049, TR2015622, TR2003541, TR2021070, TR2005200, TR2003540, TR2001122, TR2014713, TR2014712, TR2000552, TR2011684, TR2000675, TR2001126, TR2000797, TR2012496, TR2016327, TR2021110, TR2001080, TR2005280, TR2001480, TR2010507]
2.A.29.1.3 - Evalue: 3.19842E-34	[TI2903719, TI2903720, TI2903724, TI2903725, TI2903722, TO2903018]
2.A.29.1.9 - Evalue: 5.41701E-38	[TI2903719]
2.A.29.5.5 - Evalue: 3.32101E-22	[TZ2900022]
2.A.29.23.9 - Evalue: 1.90879E-62	[TR2900011, TR2000193, TR2900010, TR2900008, TR2900007, TR2000044, TR2900009]
2.A.29.7.4 - Evalue: 1.6806E-22	[TR2000137]
2.A.29.5.6 - Evalue: 4.86961E-13	[TR2918324]
2.A.29.23.8 - Evalue: 1.60918E-59	[TR2400002, TR2400009]
2.A.29.7.1 - Evalue: 2.67609E-19	[TR2000061, TR2000137, TR2000036, TR2000353, TR2000386, TR2000331, TR2002812, TR2000130, TR2000260]
2.A.29.3.5 - Evalue: 4.23276E-14	[TZ2900012]
2.A.29.1.7 - Evalue: 2.70863E-36	[TI2903719]
2.A.29.5.3 - Evalue: 1.50479E-21	[TZ2900022]
2.A.29.7.2 - Evalue: 6.3802E-19	[TR2000061, TR2000137, TR2000386, TR2000130]
2.A.29.5.4 - Evalue: 1.49556E-18	[TZ2900022]
2.A.29.23.5 - Evalue: 1.30984E-58	[TR2000009]
2.A.29.23.4 - Evalue: 1.2463E-123	[TR2900128]
2.A.29.23.3 - Evalue: 1.36622E-38	[TR2900013, TR2900012]
2.A.29.23.2 - Evalue: 3.88172E-33	[TR2400002, TR2400009, TR2400008]
2.A.29.23.1 - Evalue: 2.12439E-62	[TR2400002, TR2400009]
2.A.29.2.13 - Evalue: 3.89957E-11	[TR2900000, TR2900001]
2.A.29.19.2 - Evalue: 3.02778E-13	[TR2900003, TR2900002]
2.A.29.19.1 - Evalue: 2.94899E-14	[TR2000119, TR2000404, TR2000039, TR2000274, TR2000064, TR2000051]
2.A.29.17.1 - Evalue: 6.73815E-8	[TO2000002, TI2903795]
2.A.29.11.3 - Evalue: 5.16431E-50	[TR2900044, TR2900047, TR2900046]
2.A.29.13.1 - Evalue: 4.354E-23	[TO2903041, TI2903796]
2.A.29.11.1 - Evalue: 6.64749E-46	[TR2900044, TR2900047, TR2900046]
2.A.29.20.1 - Evalue: 4.1361E-17	[TR2900088, TR2900087, TR2900086, TR2900085, TR2900084, TR2900083]
2.A.29.1.10 - Evalue: 5.5981E-41	[TR2000128]
2.A.29.2.4 - Evalue: 2.08202E-13	[TR2900022, TR2900021, TR2900020, TR2900026, TR2900015, TR2900014, TR2900025, TR2900024, TR2900023, TR2900019, TR2900018, TR2900017, TR2900028, TR2900016, TR2900027]
2.A.29.4.2 - Evalue: 1.07632E-10	[TR2000009]
2.A.29.2.3 - Evalue: 8.09162E-10	[TO2903031, TO2903030, TI2903790, TI2903753, TI2903754, TI2903751, TI2903757, TI2903758, TI2903759, TO2903026, TO2903025, TI2903782, TI2903783, TI2903781, TI2903742, TI2903786, TI2903787, TI2903743, TI2903784, TI2903740, TI2903741, TI2903785, TI2903746, TO2903028, TI2903747, TO2903027, TI2903788, TI2903744, TI2903789, TO2903029, TI2903745, TI2903748, TI2903749, TI2903771, TI2903772, TI2903770, TI2903775, TI2903773, TI2903774, TI2903779, TI2903778, TI2903739, TI2903737, TI2903738, TI2903761, TI2903764, TI2903765, TI2903763, TI2903766]
2.A.29.4.1 - Evalue: 6.40767E-9	[TR2000009]
2.A.29.4.6 - Evalue: 4.42024E-16	[TR2000009]
