reference	rast_only	refseq_only	transyt_only	rast_and_refseq	rast_and_transyt	refseq_and_transyt	all_combined	lineage
GCF_000092245.1	0	87	12	301	3	7	88	Bacteria, Proteobacteria, delta/epsilon subdivisions, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Arcobacter group, Arcobacter, Arcobacter nitrofigilis DSM 7299
GCF_000949425.1	0	65	13	346	13	16	162	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus, Paenibacillus sp. IHBB 10380
GCF_000953475.1	0	38	7	129	4	1	32	Bacteria, PVC group, Verrucomicrobia, Methylacidiphilae, Methylacidiphilales, Methylacidiphilaceae, Methylacidiphilum, Methylacidiphilum fumariolicum SolV
GCF_000195995.1	0	0	123	0	419	0	0	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella, Salmonella enterica, Salmonella enterica subsp. enterica, Salmonella enterica subsp. enterica serovar Typhi str. CT18
GCF_000024345.1	0	93	11	517	11	15	140	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Propionibacteriales, Nocardioidaceae, Kribbella, Kribbella flavida DSM 17836
GCF_000015145.1	0	21	1	95	3	0	6	Archaea, TACK group, Crenarchaeota, Thermoprotei, Desulfurococcales, Pyrodictiaceae, Hyperthermus, Hyperthermus butylicus DSM 5456
GCF_000816185.1	0	24	11	106	3	6	46	Bacteria, Proteobacteria, delta/epsilon subdivisions, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Campylobacter, Campylobacter insulaenigrae NCTC 12927
GCF_000092505.1	0	27	6	150	5	8	108	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Leuconostocaceae, Leuconostoc, Leuconostoc kimchii IMSNU 11154
GCF_000981765.1	0	45	12	127	4	6	56	Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Kangiellaceae, Kangiella geojedonensis
GCF_000619905.2	0	38	17	187	5	8	60	Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales, Nitrosomonadaceae, Nitrosospira, Nitrosospira briensis C-128
GCF_000325705.1	0	152	7	253	3	9	109	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Cytophagia, Cytophagales, Cyclobacteriaceae, Echinicola, Echinicola vietnamensis DSM 17526
GCF_000008645.1	0	22	2	50	2	0	17	Archaea, Euryarchaeota, Methanomada group, Methanobacteria, Methanobacteriales, Methanobacteriaceae, Methanothermobacter, Methanothermobacter thermautotrophicus str. Delta H
GCF_000600005.1	0	79	18	107	5	9	68	Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Snodgrassella, Snodgrassella alvi wkB2
GCF_000190535.1	0	125	5	241	2	10	71	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Bacteroidia, Bacteroidales, Odoribacteraceae, Odoribacter, Odoribacter splanchnicus DSM 20712
GCF_000179915.2	0	129	9	270	4	5	68	Bacteria, Acidobacteria, Acidobacteriia, Acidobacteriales, Acidobacteriaceae, Terriglobus, Terriglobus saanensis SP1PR4
GCF_000147835.2	0	117	25	245	8	15	99	Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingobium, Sphingobium chlorophenolicum L-1
GCF_000214785.1	0	17	2	121	7	4	75	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus kefiranofaciens ZW3
GCF_000011545.1	0	0	50	0	284	0	0	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia, pseudomallei group, Burkholderia pseudomallei K96243
GCF_001750785.1	0	75	17	248	11	7	134	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces rubrolavendulae
GCF_000833025.1	0	93	12	217	3	8	77	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Myroides profundi
GCF_001719165.1	0	84	17	158	4	6	40	Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Erythrobacteraceae, Erythrobacter litoralis
GCF_001027025.1	0	42	1	182	2	1	58	Bacteria, Thermotogae, Thermotogae, Kosmotogales, Kosmotogaceae, Kosmotoga pacifica
GCF_000193375.1	0	52	2	104	1	1	11	Archaea, TACK group, Crenarchaeota, Thermoprotei, Thermoproteales, Thermoproteaceae, Thermoproteus, Thermoproteus uzoniensis 768-20
GCF_000063445.1	0	57	3	131	4	3	28	Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanocellales, Methanocellaceae, Methanocella, Methanocella arvoryzae MRE50
GCF_000014785.1	0	65	23	213	10	10	75	Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Ectothiorhodospiraceae, Alkalilimnicola, Alkalilimnicola ehrlichii MLHE-1
GCF_000025565.1	0	0	98	0	488	0	0	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Enterobacter, Enterobacter cloacae complex, Enterobacter cloacae, Enterobacter cloacae subsp. cloacae ATCC 13047
GCF_000154785.2	0	100	14	478	8	3	145	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Roseobacter, Roseobacter litoralis Och 149
GCF_000182745.2	0	57	8	210	4	3	88	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Komagataeibacter, Komagataeibacter medellinensis NBRC 3288
GCF_000317305.3	0	96	23	280	4	10	135	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycolicibacterium, Mycolicibacterium neoaurum VKM Ac-1815D
GCF_900087055.1	0	0	57	0	209	0	0	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacterales incertae sedis, Plesiomonas shigelloides
GCF_000019525.1	0	130	37	335	11	22	165	Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Shewanellaceae, Shewanella, Shewanella woodyi ATCC 51908
GCF_001305595.1	0	142	38	580	16	15	228	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Azospirillum thiophilum
GCF_000185985.2	0	5	7	27	1	4	15	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Enterobacteriaceae incertae sedis, ant, tsetse, mealybug, aphid, etc. endosymbionts, ant endosymbionts, Candidatus Blochmannia, Candidatus Blochmannia vafer str. BVAF
GCF_000304215.1	0	35	7	172	4	1	38	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium, Bifidobacterium asteroides PRL2011
GCF_000283515.1	0	143	19	234	10	15	98	Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingobium, Sphingobium sp. SYK-6
GCF_000015125.1	0	33	9	141	6	4	38	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Chlorobi, Chlorobia, Chlorobiales, Chlorobiaceae, Chlorobium/Pelodictyon group, Chlorobium, Chlorobium phaeobacteroides DSM 266
GCF_000023905.1	0	32	5	132	3	5	71	Bacteria, Fusobacteria, Fusobacteriia, Fusobacteriales, Leptotrichiaceae, Leptotrichia, Leptotrichia buccalis C-1013-b
GCF_000019365.1	0	138	29	537	14	11	215	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Methylobacteriaceae, Methylobacterium, Methylobacterium sp. 4-46
GCF_000565175.1	0	33	1	51	1	3	14	Bacteria, Terrabacteria group, Tenericutes, Mollicutes, Entomoplasmatales, Spiroplasmataceae, Spiroplasma, Spiroplasma culicicola AES-1
GCF_001020955.1	0	43	13	167	6	6	67	Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Ectothiorhodospiraceae, Thioalkalivibrio versutus
GCF_900078695.1	0	140	30	437	6	13	160	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella trematum
GCF_001278075.1	0	102	26	435	11	17	173	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces pristinaespiralis
GCF_000007325.1	0	19	11	160	7	0	90	Bacteria, Fusobacteria, Fusobacteriia, Fusobacteriales, Fusobacteriaceae, Fusobacterium, Fusobacterium nucleatum, Fusobacterium nucleatum subsp. nucleatum ATCC 25586
GCF_000012645.1	0	16	7	75	1	1	33	Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Prochloraceae, Prochlorococcus, Prochlorococcus marinus str. MIT 9312
GCF_000093065.1	0	2	2	16	3	0	16	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Candidatus Riesia, Candidatus Riesia pediculicola USDA
GCF_000020225.1	0	33	4	129	2	7	37	Bacteria, PVC group, Verrucomicrobia, Verrucomicrobiae, Verrucomicrobiales, Akkermansiaceae, Akkermansia, Akkermansia muciniphila ATCC BAA-835
GCF_000723465.1	0	32	2	137	4	4	40	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcus bicirculans
GCF_000007765.2	0	34	6	92	9	2	49	Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Coxiellaceae, Coxiella, Coxiella burnetii RSA 493
GCF_001262055.1	0	37	9	142	5	6	30	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Actinomycetales, Actinomycetaceae, Schaalia meyeri
GCF_000196035.1	0	19	20	197	18	3	121	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Listeriaceae, Listeria, Listeria monocytogenes EGD-e
GCF_000517565.1	0	42	9	115	2	9	32	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfurellales, Desulfurellaceae, Desulfurella, Desulfurella acetivorans A63
GCF_000800475.2	0	25	6	125	3	2	42	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium, Bifidobacterium pseudolongum PV8-2
GCF_000800395.1	0	38	6	217	3	6	62	Bacteria, Terrabacteria group, Deinococcus-Thermus, Deinococci, Deinococcales, Deinococcaceae, Deinococcus swuensis
GCF_000739455.1	0	41	5	140	3	10	81	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium imitans
GCF_000007345.1	0	54	9	290	9	1	66	Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanosarcinales, Methanosarcinaceae, Methanosarcina, Methanosarcina acetivorans C2A
GCF_000015345.1	0	16	8	75	7	1	50	Bacteria, Proteobacteria, Gammaproteobacteria, Cardiobacteriales, Cardiobacteriaceae, Dichelobacter, Dichelobacter nodosus VCS1703A
GCF_000827125.1	0	72	12	173	4	6	50	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geoalkalibacter subterraneus
GCF_000006725.1	0	30	13	104	3	5	46	Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Xylella, Xylella fastidiosa 9a5c
GCF_000960975.1	0	94	15	584	12	19	195	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Aurantimonadaceae, Martelella endophytica
GCF_000010145.1	0	15	6	127	7	4	66	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus fermentum IFO 3956
GCF_002222615.2	0	114	8	259	2	11	84	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides caccae
GCF_001308105.1	0	134	19	225	17	6	91	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Cytophagia, Cytophagales, Persicobacteraceae, Persicobacter, Persicobacter sp. JZB09
GCF_000953015.1	0	37	10	107	4	5	37	Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales, Methylophilaceae, Candidatus Methylopumilus turicensis
GCF_000024365.1	0	75	10	281	5	15	95	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Nakamurellales, Nakamurellaceae, Nakamurella, Nakamurella multipartita DSM 44233
GCF_000218545.1	0	41	12	220	15	7	76	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Cellulomonadaceae, Cellulomonas, Cellulomonas gilvus ATCC 13127
GCF_000317435.1	0	59	14	238	10	7	83	Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Nostocales, Calotrichaceae, Calothrix, Calothrix sp. PCC 6303
GCF_000146165.2	0	0	61	0	172	0	0	Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Shewanellaceae, Shewanella, Shewanella oneidensis MR-1
GCF_000316665.1	0	84	15	299	7	6	110	Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Nostocales, Rivulariaceae, Rivularia, Rivularia sp. PCC 7116
GCF_000019605.1	0	22	0	103	1	0	18	Archaea, TACK group, Candidatus Korarchaeota, Candidatus Korarchaeum, Candidatus Korarchaeum cryptofilum OPF8
GCF_000007925.1	0	0	10	0	34	0	0	Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Prochloraceae, Prochlorococcus, Prochlorococcus marinus, Prochlorococcus marinus subsp. marinus str. CCMP1375
GCF_001190755.1	0	35	11	113	3	7	47	Bacteria, Proteobacteria, delta/epsilon subdivisions, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Campylobacter, Campylobacter ureolyticus RIGS 9880
GCF_000144695.1	0	40	3	125	2	4	68	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Halanaerobiales, Halobacteroidaceae, Acetohalobium, Acetohalobium arabaticum DSM 5501
GCF_000230275.1	0	32	4	170	8	4	87	Bacteria, Terrabacteria group, Firmicutes, Negativicutes, Acidaminococcales, Acidaminococcaceae, Acidaminococcus, Acidaminococcus intestini RyC-MR95
GCF_000014885.1	0	95	36	342	10	23	161	Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Shewanellaceae, Shewanella, Shewanella piezotolerans WP3
GCF_001553935.1	0	47	9	177	5	8	57	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Actinomycetales, Actinomycetaceae, Actinomyces oris
GCF_000967425.1	0	98	13	424	8	15	178	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Rhizobium/Agrobacterium group, Rhizobium, Rhizobium sp. NT-26
GCF_001511815.1	0	101	20	451	20	19	179	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces reticuli
GCF_000699505.1	0	28	6	90	2	7	31	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Microbacteriaceae, Luna cluster, Luna-1 subcluster, Rhodoluna lacicola
GCF_000017145.1	0	0	46	0	274	0	0	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Sinorhizobium/Ensifer group, Sinorhizobium, Sinorhizobium medicae WSM419
GCF_000022085.1	0	133	30	528	13	13	227	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Methylobacteriaceae, Methylobacterium, Methylobacterium nodulans ORS 2060
GCF_000024605.1	0	33	3	91	2	0	27	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacteraceae, Moorella group, Ammonifex, Ammonifex degensii KC4
GCF_000143965.1	0	47	17	191	6	2	49	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfarculales, Desulfarculaceae, Desulfarculus, Desulfarculus baarsii DSM 2075
GCF_000072485.1	0	91	23	291	12	13	135	Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Stenotrophomonas, Stenotrophomonas maltophilia group, Stenotrophomonas maltophilia K279a
GCF_000277795.1	0	3	1	20	0	0	2	Bacteria, Terrabacteria group, Tenericutes, Mollicutes, Mycoplasmatales, Mycoplasmataceae, Mycoplasma, Mycoplasma wenyonii str. Massachusetts
GCF_000176855.2	0	146	25	467	7	15	166	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax avenae, Acidovorax avenae subsp. avenae ATCC 19860
GCF_000196095.1	0	0	52	0	248	0	0	Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio, Vibrio harveyi group, Vibrio parahaemolyticus RIMD 2210633
GCF_000020645.1	0	33	14	136	7	2	36	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Chlorobi, Chlorobia, Chlorobiales, Chlorobiaceae, Chlorobium/Pelodictyon group, Pelodictyon, Pelodictyon phaeoclathratiforme BU-1
GCF_000092465.1	0	21	1	100	1	0	11	Archaea, TACK group, Crenarchaeota, Thermoprotei, Desulfurococcales, Desulfurococcaceae, Staphylothermus, Staphylothermus hellenicus DSM 12710
GCF_000829415.1	0	148	29	453	15	26	323	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas sp. StFLB209
GCF_000214725.1	0	42	3	73	0	1	34	Archaea, Euryarchaeota, Methanomada group, Methanobacteria, Methanobacteriales, Methanobacteriaceae, Methanobacterium paludis
GCF_000018545.1	0	0	44	0	264	0	0	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Sinorhizobium/Ensifer group, Sinorhizobium, Sinorhizobium fredii group, Sinorhizobium fredii NGR234
GCF_000340885.1	0	78	9	401	9	10	179	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium, Clostridium saccharoperbutylacetonicum, Clostridium saccharoperbutylacetonicum N1-4(HMT)
GCF_000253035.1	0	46	7	138	3	5	62	Bacteria, PVC group, Chlamydiae, Chlamydiia, Parachlamydiales, Parachlamydiaceae, Parachlamydia, Parachlamydia acanthamoebae UV-7
GCF_000583875.1	0	28	3	65	2	2	21	Bacteria, PVC group, Chlamydiae, Chlamydiia, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia, Chlamydia avium 10DC88
GCF_000230955.2	0	73	8	172	1	6	37	Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Halobacteriales, Halobacteriaceae, Halobacterium, Halobacterium sp. DL1
GCF_000397205.1	0	139	40	483	21	26	346	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas fluorescens group, Pseudomonas protegens CHA0
GCF_001705175.1	0	155	18	218	5	9	89	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium johnsoniae
GCF_000508245.1	0	3	1	17	0	0	3	Bacteria, Terrabacteria group, Tenericutes, Mollicutes, Mycoplasmatales, Mycoplasmataceae, Mycoplasma, Mycoplasma ovis str. Michigan
GCF_000270285.1	0	64	8	152	3	6	56	Bacteria, Terrabacteria group, Actinobacteria, Coriobacteriia, Eggerthellales, Eggerthellaceae, Eggerthella, Eggerthella sp. YY7918
GCF_000010285.1	0	25	9	155	4	3	83	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Micrococcaceae, Kocuria, Kocuria rhizophila DC2201
GCF_000008045.1	0	14	4	50	5	3	27	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, typhus group, Rickettsia typhi str. Wilmington
GCF_000240185.1	0	81	82	331	62	28	464	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Klebsiella, Klebsiella pneumoniae, Klebsiella pneumoniae subsp. pneumoniae HS11286
GCF_000471965.1	0	5	1	25	0	2	11	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Blattabacteriaceae, Blattabacterium, Blattabacterium sp. (Nauphoeta cinerea)
GCF_000063545.1	0	18	5	51	3	3	19	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Orientia, Orientia tsutsugamushi str. Boryong
GCF_000008885.1	0	10	3	26	3	4	16	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Erwiniaceae, Wigglesworthia, Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis
GCF_001420995.1	0	96	36	372	15	12	181	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Pseudonocardiales, Pseudonocardiaceae, Pseudonocardia, Pseudonocardia sp. EC080619-01
GCF_000723165.1	0	148	23	371	11	18	163	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Janthinobacterium, Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628
GCF_000010585.1	0	27	9	127	4	7	99	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Macrococcus, Macrococcus caseolyticus JCSC5402
GCF_000021985.1	0	60	12	195	8	6	79	Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Ectothiorhodospiraceae, Thioalkalivibrio, Thioalkalivibrio sulfidiphilus HL-EbGr7
GCF_001447335.1	0	92	30	294	18	21	204	Bacteria, Proteobacteria, Gammaproteobacteria, Aeromonadales, Aeromonadaceae, Aeromonas schubertii
GCF_000185905.1	0	0	46	0	253	0	0	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Phyllobacteriaceae, Mesorhizobium, Mesorhizobium ciceri, Mesorhizobium ciceri biovar biserrulae WSM1271
GCF_001273775.1	0	105	13	148	7	4	53	Bacteria, Nitrospirae, Nitrospira, Nitrospirales, Nitrospiraceae, Nitrospira moscoviensis
GCF_001586215.1	0	38	10	171	3	8	76	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium simulans
GCF_000019845.1	0	71	13	221	10	12	115	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae, Beijerinckia, Beijerinckia indica, Beijerinckia indica subsp. indica ATCC 9039
GCF_000007085.1	0	33	5	160	6	0	84	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacteraceae, Caldanaerobacter, Caldanaerobacter subterraneus, Caldanaerobacter subterraneus subsp. tengcongensis MB4
GCF_000222485.1	0	140	12	315	4	7	96	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Cytophagia, Cytophagales, Cyclobacteriaceae, Cyclobacterium, Cyclobacterium marinum DSM 745
